中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
合同准时交付率,,派生指标,,,ZB00397,,按合同日期准时交付金额/总下单金额*100%（加载部分不纳入准交计算）,,,,,
重大质量事故/抽检不合格次数,,派生指标,,,ZB00403,,量产、销售过程中因为品质异常导致产品下架、召回的款式数量或产品上市后被国家检测机构抽检不合格次数,,,,,
计划交付数量,,派生指标,,,ZB00407,,交期订单数量/季度总采购数量,,,,,
计划交付市值,,原子指标,,,ZB00408,,交期订单市值,,,,,
计划交付数量占比,,派生指标,,,ZB00409,,交期订单数量/季度总采购数量,,,,,
计划交付市值占比,,派生指标,,,ZB00410,,交期订单市值/季度总采购市值,,,,,
实际交付数量,,原子指标,,,ZB00411,,实际总仓入库订单数量,,,,,
实际交付市值,,原子指标,,,ZB00412,,实际总仓入库订单金额,,,,,
实际交付数量占比,,派生指标,,,ZB00413,,实际总仓入库订单量/季度总采购数量,,,,,
实际交付市值占比,,派生指标,,,ZB00414,,实际总仓入库订单市值/季度总采购市值,,,,,
实际要货数量,,原子指标,,,ZB00415,,要货订单量,,,,,
实际要货市值,,派生指标,,,ZB00416,,要货订单吊牌市值,,,,,
实际要货数量占比,,派生指标,,,ZB00417,,要货订单量/季度总采购数量,,,,,
实际要货市值占比,,派生指标,,,ZB00418,,要货订单吊牌市值/季度总采购市值,,,,,
实际终端到货数量,,原子指标,,,ZB00423,,实际终端收货量,,,,,
实际终端到货市值,,派生指标,,,ZB00424,,实际终端收货市值,,,,,
初版进度,,派生指标,,,ZB00437,,已完成初版款数/总初版款数,,,,,
齐色款数,,原子指标,,,ZB00438,,齐色阶段款数,,,,,
齐色进度,,派生指标,,,ZB00439,,已完成齐色款数/总齐色款数,,,,,
订货进度,,派生指标,,,ZB00441,,已完成订货款数/总订货款数,,,,,
大货进度,,派生指标,,,ZB00443,,已完成大货款数/总大货款数,,,,,
柔供进度,,派生指标,,,ZB00445,,已完成柔供款数/总款数,,,,,
供应商数量,,原子指标,,,ZB00446,,一级合作供应商计数,,,,,
分供比,,派生指标,,,ZB00449,,供应商年度订单总金额÷公司年度订单总金额×100%,,,,,
占供比,,派生指标,,,ZB00450,,公司年度订单总金额÷供应商年度订单总金额×100%,,,,,
平均生产周期,,派生指标,,,ZB00451,,（约车时间-下单时间）的平均值,,,,,
供应商使用率,,派生指标,,,ZB00453,,下单一级供应商数量/所有一级供应商数量×100%,,,,,
准确交付率,,派生指标,,,ZB00454,,柔性批次准交率×柔性采购额占比+期货批次准交率×期货采购额占比,,,,,
期货批次交付率,,派生指标,,,ZB00455,,按期达成柔性总订单个数/订单总订单个数×100%,,,,,
外观检验合格率,,派生指标,,,ZB00456,,现场抽查批次合格率*50%+稽查批次合格率*50%,,,,,
稽查批次合格率,,派生指标,,,ZB00457,,入仓稽查抽查合格次数/总抽查次数,,,,,
理化检验合格率,,派生指标,,,ZB00458,,不合格报告数/报告总数,,,,,
抽检批次占比,,派生指标,,,ZB00459,,抽检批次数量/总入库批次数量*100%,,,,,
前期检验率,,派生指标,,,ZB00460,,按单款生产出成品计划检验准确性完成率,,,,,
中期检验率,,派生指标,,,ZB00461,,按单款生产完成成品包装计划检验准确性完成率,,,,,
尾期检验率,,派生指标,,,ZB00462,,按单款生产出货计划检验准确性完成率,,,,,
理化检测项目不合格率,,派生指标,,,ZB00463,,不合格项目数/不合格项目检测总数,,,,,
高新技术项目奖金,,原子指标,,,ZB00464,,汇总金额（试制费）,,,,,
供应商绩效违规次数,,原子指标,,,ZB00465,,金监控、利器管理、私自外发、恶意退单的总次数,,,,,
跨品牌共用率,,派生指标,,,ZB00467,,跨品牌合作供应商数量/所有一级供应商数量×100%,,,,,
利器管理,,派生指标,,,ZB00468,,考核周期内，每次15分,,,,,
私自外发,,原子指标,,,ZB00469,,考核周期内，每次15分,,,,,
恶意退单,,原子指标,,,ZB00470,,考核周期内，每次15分,,,,,
疵点问题占比,,派生指标,,,ZB00471,,同一疵点问题数量/不合格数*100%,,,,,
现场抽查批次合格率,,派生指标,,,ZB00472,,现场质量抽查合格次数/总抽查次数,,,,,
不合格款处理方式占比,,派生指标,,,ZB00473,,某种处理方式/不合格总批次）*100%,,,,,
采购金额占比,,复合指标,T2,供应链,SUM.00.000.001,筛选维度下SAP采购货品金额与总采购金额的比,无,采购金额占比=各维度下的采购金额/总订单金额*100%,,"品牌,订单类型,订单类型_理想,采购组类型,是否核心供应商",%,供应链
开发放比,,复合指标,T2,供应链,SUM.00.000.002,实际开发打样与企划坑位的比例,无,款数开发放比=开发款数/规划款数，、款色开发放比=开发款色数/规划款色数,,"品牌,生产阶段,产品年季,采购组类型",%,供应链
批次达成率,,复合指标,T1,供应链,SUM.00.000.003,按期交货的订单达成率,无,批次达成率=按期达成订单批次/总订单批次,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM，订单优先级",%,供应链
货期达成率,,复合指标,T1,供应链,SUM.00.000.004,产品按合同货期达成的比例；注：单订单前置交付95%以上，（含货期修正过）算批次达成,无,货期达成率=(按期入仓批次数/总入仓批次数)*50% +(按期入仓量/总批次入仓量)*50%,,"品牌,产品年,产品季,品类,供应商",%,供应链
上市达成率,,复合指标,T1,供应链,SUM.00.000.005,产品按上市日期达成的比例；注：单订单按期达成95%以上，算批次达成,无,上市达成率=(按期上市批次数/总上市批次数)*50% +(按期上市量/总批次上市量)*50%,,"品牌,产品年,产品季,品类,供应商",%,供应链
柔供天数,,复合指标,T1,供应链,SUM.00.000.006,柔性订单（生产阶段：加翻单）的平均交付周期,无,柔供天数=(∑单PO天数*单PO订单额)/总订单额,,"品牌,订单类型,产品季,采购组类型",天,供应链
黑红黄单平均天数,,复合指标,T1,供应链,SUM.00.000.007,订单属性为黑红黄单的平均交期,无,黑红黄单天数=(∑黑红黄单的单PO天数*单PO订单额)/黑红黄单的总订单额,,"品牌,订单类型,产品季,采购组类型",天,供应链
黑红黄单金额占比,,复合指标,T1,供应链,SUM.00.000.008,订单属性为黑红黄单的采购金额占比,无,黑红黄单金额占比=黑红黄单采购金额/总订单采购金额*100%,,"品牌,订单类型,产品季,采购组类型",%,供应链
终端市场退疵率,,复合指标,T1,供应链,SUM.00.000.009,商品售出后由于各种原因被退回的数量与同期发货数量之间的比率，包含FQC、QC、供应商、免检、整体,无,终端市场退疵率=市场退疵数量/净配发量*1000%,,"品牌,产品年,产品季,品类,供应商全称,材料结构,供应商结构,供应商区域,采购模式,订单类型_理想",%,供应链
开发有效率,,复合指标,T1,供应链,SUM.00.000.010,在一定时间内开发的产品款数与保留下来的大货产品款数之间的比率,无,开发有效性=大货保留款数/各阶段开发总款数（去重）*100%,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM，订单优先级",%,供应链
阶段保留率,,复合指标,T1,供应链,SUM.00.000.011,在一定时间内开发的产品款数与保留下来的大货产品款数之间的比率,无,阶段保留率=各阶段保留款数/上阶段开发总款数（去重新款）*100%；注：大货对比订货，订货对比内评，内评对比初版,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM，订单优先级",%,供应链
成本偏差率,,复合指标,T1,供应链,SUM.00.000.012,大货采购费用与核价标准成本费用的偏差率,无,成本偏差率=（大货采购总金额/核价总金额-1）*100%,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM",%,供应链
加工费偏差率,,复合指标,T1,供应链,SUM.00.000.013,加工采购费用与加工费核价标准成本费用的偏差率,无,加工费偏差率=（大货加工费总金额/核价加工费总金额-1）*100%；注：加工费包含：工税、利润以及材料管理费,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM",%,供应链
提前单加工费偏差率,,复合指标,T1,供应链,SUM.00.000.014,提前单加工采购费用与提前单加工费核价标准成本费用的偏差率,无,提前单加工费偏差率=（提前单加工费总金额/提前单核价加工费总金额-1）*100%；注：加工费包含：工税、利润以及材料管理费,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM",%,供应链
入仓合格率,,复合指标,T1,供应链,SUM.00.000.015,衡量入库合格情况,无,仓检合格率=(合格批次数/入仓总批次数)*50% + (合格批次入仓量/入仓量)*50%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",%,供应链
入仓抽检合格率,,复合指标,T1,供应链,SUM.00.000.016,衡量入库抽检合格情况,无,入仓抽检合格率=(抽检合格批次数/入仓抽检总批次数)*50% +(抽检合格批次入仓量/抽检总批次入仓量)*50%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",%,供应链
供应商责任退疵率,,复合指标,T1,供应链,SUM.00.000.017,供应商责任退疵数量占整体配发数量比例,无,供应商责任退疵率=供应商责任市场退疵数量/净配发量*1000%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",%,供应链
市场退疵率,,复合指标,T1,供应链,SUM.00.000.018,整体退疵数量占整体配发数量比例,无,市场退疵率=整体退疵数量/配发数量*1000%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",%,供应链
打折款售罄率,,复合指标,T2,供应链,SUM.00.000.019,按单款统计有条件出货(打折）的售罄率,无,打折款售罄率=打折款的零售市值/该款的下单市值*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
担保款售罄率,,复合指标,T2,供应链,SUM.00.000.020,按单款统计有条件出货(担保）的售罄率,无,担保款售罄率=担保款的零售市值/该款的下单市值*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
代销款售罄率,,复合指标,T2,供应链,SUM.00.000.021,按单款统计有条件出货(代销）的售罄率,无,代销款售罄率=代销款的零售市值/该款的下单市值*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
尾检一次通过率,,复合指标,T1,供应链,SUM.00.000.022,按批次进行尾检，尾检一次通过的合格率,无,尾检一次通过率=尾检一次通过的次数/尾检总次数*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
FQC供应商下单个数占比,,复合指标,T2,供应链,SUM.00.000.023,通过FQC认证供应商个数占下单供应商家数的比例,无,FQC供应商下单个数占比=FQC认证供应商下单个数/下单供应商家数*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
免检供应商下单个数占比,,复合指标,T2,供应链,SUM.00.000.024,通过免检认证供应商个数占下单供应商家数的比例,无,免检供应商下单个数占比=免检认证供应商下单个数/下单供应商家数*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
FQC供应商订单覆盖比例,,复合指标,T2,供应链,SUM.00.000.025,通过FQC认证供应商订单占总订单的比例,无,FQC供应商订单覆盖比例=FQC认证供应商订单采购数量/总采购数量*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
免检供应商订单覆盖比例,,复合指标,T2,供应链,SUM.00.000.026,通过免检认证供应商订单占总订单的比例,无,免检供应商订单覆盖比例=免检供应商订单采购数量/总订单采购数量*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
FQC订单覆盖比例,,复合指标,T2,供应链,SUM.00.000.027,通过FQC认证供应商&QC未抽检订单占总订单的比例,无,FQC订单覆盖比例=FQC供应商&QC未抽检的订单采购数量/总订单采购数量*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
免检订单覆盖比例,,复合指标,T2,供应链,SUM.00.000.028,通过免检认证供应商&仓库未抽检订单占总订单的比例,无,免检订单覆盖比例=免检供应商&仓检未抽检订单数/总订单采购数量*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
产能规划达成率,,复合指标,T2,供应链,SUM.00.000.029,产能规划达成率,无,产能规划达成率（均不含ODM）=采购订单量/规划量*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
大货货量月度占比,,复合指标,T2,供应链,SUM.00.000.030,实际大货每月货量占比,无,大货货量月度占比=每月规划产能/总规划产能*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
款均采购订单数,,复合指标,T2,供应链,SUM.00.000.031,单款下发次数,无,款均采购订单数=采购订单数/款数,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",单,供应链
季前交付比例,,复合指标,T2,供应链,SUM.00.000.032,各产品季季前交付的订单占该季度总订单比例,无,季前交付比例=季前交付订单采购金额/该季总订单采购金额*100%,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
核心池订单占比,,复合指标,T2,供应链,SUM.00.000.033,战略&核心&培养供应商订单占比,无,核心池订单占比=战略&核心&培养订单采购金额/总订单采购金额,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组",%,供应链
面料拉通度,,复合指标,T2,供应链,SUM.00.000.034,同一面料应用于成衣款数情况，体现材料通用率,无,面料拉通度=各标签面种数应用成衣款数/各标签面种数,,"品牌,产品年,产品季,阶段,品类,材料结构",-,供应链
创新产品售罄率,,复合指标,T2,供应链,SUM.00.000.035,创新材料应用产品售罄情况,无,创新产品售罄率=创新面种应用产品零售市值/创新面种应用产品总订单市值*100%,,"品牌,产品年,产品季,阶段,品类,材料结构",%,供应链
集采订单占比,,复合指标,T2,供应链,SUM.00.000.036,品类集采采购额/品类整体采购额,无,集采订单占比=品类集采采购额/品类整体采购额*100%,,"品牌,产品年,产品季,阶段,品类",%,供应链
集采订单成本优化,,复合指标,T2,供应链,SUM.00.000.037,集采订单实际成本优化比例,无,集采订单成本优化=(品类集采金额/品类采购金额*100%)-1,,"品牌,产品年,产品季,阶段,品类,材料结构",元,供应链
面料成本,,复合指标,T1,供应链,SUM.00.000.038,实际面料采购金额,无,面料成本=∑面料数量*面料采购单价,,"品类,中类",元,供应链
辅料成本,,复合指标,T1,供应链,SUM.00.000.039,实际辅料采购金额,无,辅料成本=∑辅料数量*辅料采购单价,,"品类,中类",元,供应链
棉/羽成本,,复合指标,T1,供应链,SUM.00.000.040,实际棉/羽采购金额,无,棉/羽成本=∑棉花/羽绒数量*棉花/羽绒单采购价,,"品类,中类",元,供应链
成衣采购成本倍率,,复合指标,T1,供应链,SUM.00.000.041,成衣吊牌价均价与成衣采购成本均价比值,无,成衣采购成本倍率=成衣吊牌价均价/成衣采购成本均价,,"品类,中类",%,供应链
成衣吊牌毛利率,,复合指标,T1,供应链,SUM.00.000.042,毛利与销售收入（或营业收入）的百分比,无,成衣吊牌毛利率=∑（成衣吊牌价均价-成衣采购价均价）/∑成衣吊牌价均价*100%,,"品类,中类",%,供应链
打样费用占比,,复合指标,T2,供应链,SUM.00.000.043,材料打样费、成品打样费、小缸费占实际大货的比例,无,开发费用占比=（成衣打样费用+材料打样费用+小缸费）/采购金额*100%,,"品牌,产品年,产品季,供应商,定位,大类,产品经理,中类",%,供应链
新供应商利用率,,复合指标,T2,供应链,SUM.00.000.044,近一年下单新供应商占新准入供应商比例,无,新供应商利用率=近一年合作(采购订单下单的)新供应商/系统内新供应商*100%,,"品牌,品类",%,供应链
供应商利用率,,复合指标,T2,供应链,SUM.00.000.045,近一年下单供应商占总供应商比例,无,供应商利用率=近一年合作(采购订单下单的)供应商/系统内所有供应商*100%,,"品牌,品类",%,供应链
规模池供应商数量占比,,复合指标,T2,供应链,SUM.00.000.046,管理池为规模池的供应商数量占比,无,规模池供应商数量占比=规模池供应商数量/供应商总数量*100%,,"品牌,品类",%,供应链
规模池订单占比,,复合指标,T2,供应链,SUM.00.000.047,规模池标签的供应商的订单量占比,无,规模池订单占比=规模池供应商订单数量/供应商订单总数量*100%,,"品牌,品类",%,供应链
品牌共用率,,复合指标,T2,供应链,SUM.00.000.048,按供应商合作品牌个数区分：1各品牌，2~4个品牌，4各品牌以上,无,品牌共用率=合作多个品牌供应商数量/总供应商数量*100%,,"品牌,品类",%,供应链
验厂等级供应商占比,,复合指标,T2,供应链,SUM.00.000.049,各验厂等级下的供应商数量占比,无,验厂等级供应商占比=各验厂等级供应商数量/供应商数量*100%,,"品牌,品类",%,供应链
绩效等级供应商占比,,复合指标,T2,供应链,SUM.00.000.050,各绩效等级下的供应商数量占比,无,绩效等级供应商占比=各绩效等级供应商数量/供应商数量*100%,,"品牌,品类",%,供应链
迪士尼认证供应商个数占比,,复合指标,T2,供应链,SUM.00.000.051,通过迪士尼认证的供应商家数占总供应商的比例,无,迪士尼认证供应商个数占比=迪士尼认证供应商个人/供应商总数量*100%,,"品牌,大类",%,供应链
迪士尼认证款数占比,,复合指标,T2,供应链,SUM.00.000.052,通过迪士尼IP款数占总款数的比例,无,迪士尼认证款数占比=迪士尼认证款数/开发款数*100%,,"品牌,大类",%,供应链
