中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
采购下单市值,,复合指标,T2,,BUS1016,统计周期内，SAP采购订单的货品数量 * 吊牌价,,SAP采购订单的货品数量 * 吊牌价,,"品牌,商品维度",元,统筹运营中心>经营分析部
下单金额,,原子指标,T2,,BUS1021,统计时间内，商品被买家拍下的累计金额。,统计时间内，商品被买家拍下的累计金额。,,,,,
下单买家数,,原子指标,T2,,BUS1022,统计时间内，拍下宝贝的去重买家人数，一个人拍下多件或多笔，只算一个人。所有终端下单买家数为PC端和无线端下单买家去重人数，即同一个人既在PC端下单，又在无线端下单，所有终端下单买家数记为1。,统计时间内，拍下宝贝的去重买家人数，一个人拍下多件或多笔，只算一个人。所有终端下单买家数为PC端和无线端下单买家去重人数，即同一个人既在PC端下单，又在无线端下单，所有终端下单买家数记为1。,,,,,
支付件数,,原子指标,T2,,BUS1025,统计时间内，买家完成支付的商品数量,统计时间内，买家完成支付的商品数量,,,"平台,店铺,时间周期（日,周,月）",,数据部
支付老买家,,原子指标,T2,,BUS1027,统计时间段内，在您店铺内有支付行为大于一次的买家，可能会存在以前有下单未支付而统计时间段内来支付的买家,统计时间段内，在您店铺内有支付行为大于一次的买家，可能会存在以前有下单未支付而统计时间段内来支付的买家,,,,,
支付老买家数,,原子指标,T2,,BUS1028,统计时间的最小统计日期前365天内有过支付行为的买家，在统计时间内有过至少一次购买行为的买家数。,统计时间的最小统计日期前365天内有过支付行为的买家，在统计时间内有过至少一次购买行为的买家数。,,,,,
支付新买家,,原子指标,T2,,BUS1030,统计时间段内，第一次在您店铺内有支付行为的买家，可能会存在以前有下单未支付而统计时间段内来支付的买家,统计时间段内，第一次在您店铺内有支付行为的买家，可能会存在以前有下单未支付而统计时间段内来支付的买家,,,,,
支付新买家数,,原子指标,T2,,BUS1031,统计时间的最小统计日期前365天内无支付行为的买家，在统计时间内有过至少一次购买行为的买家数。,统计时间的最小统计日期前365天内无支付行为的买家，在统计时间内有过至少一次购买行为的买家数。,,,,,
额外退款金额,,原子指标,T2,,BUS1037,交易成功下，通过支付宝退给买家的金额，无需买家在后台申请,交易成功下，通过支付宝退给买家的金额，无需买家在后台申请,,,"品牌,渠道,店铺,商品维度",元,统筹运营中心>经营分析部
换货退款金额,,原子指标,T2,,BUS1038,发给买家后因换货退回的商品金额,发给买家后因换货退回的商品金额,,,,,
