中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
发明专利数量,,原子指标,,,ZB00400,,当季创新面料下单面料数量及获得材料、工艺、图形、商标等知识产权项目的数量,,,,,
管理幅宽,,复合指标,T2,人力资源管理,HRM.00.00.001,反映组织内的管理幅宽，通俗讲一个管理者管多少人,限制在管理序列,(管理序列人数-1)/组织内人数,,时间,-,人力资源部
绩优保留率,,复合指标,T1,人力资源管理,HRM.00.00.002,绩效优异的人留存情况,绩效优异的正式员工,绩优在职人数/当年绩优总人数,,时间,-,人力资源部
大雁人才保留率,,复合指标,T1,人力资源管理,HRM.00.00.003,大雁班人才保留情况,大雁班的人才,大雁在职人数/大雁班总人数,,组织,-,人力资源部
轮岗人数,,原子指标,T2,人力资源管理,HRM.00.00.004,反映组织内人员有目的流动情况,正式员工（轮岗、轮训、项目类轮岗）,人数统计,,组织,个,人力资源部
平均年龄,,复合指标,T2,人力资源管理,HRM.00.00.005,衡量一个组织内的年轻化程度,正式员工,Σ每个人的年龄/人数,,组织,岁,人力资源部
平均司龄,,复合指标,T2,人力资源管理,HRM.00.00.006,衡量一个组织内的老员工程度,正式员工,Σ每个人的司龄/人数,,组织,年,人力资源部
男女比例,,复合指标,T1,人力资源管理,HRM.00.00.007,衡量组织内男女比例，对特别高的组织需要做好安排,正式员工,男的人数/女的人数,,组织,-,人力资源部
人才结构,,复合指标,T1,人力资源管理,HRM.00.00.008,反映人才结构变化和构成,正式员工,捏合层级的占比，划分档次：、初级|中级|高级+主管|资深+高级主管|经理专家层|总监+资深专家层 的占比情况,,组织,-,人力资源部
关键人才项目覆盖率,,复合指标,T2,人力资源管理,HRM.00.00.009,衡量三个班级的人的学习情况,大雁班、骁腾、良驹,参训人数/班级总人数,,组织,-,人力资源部
跨组织认可数,,原子指标,T2,人力资源管理,HRM.00.00.010,衡量组织内协同情况,认可激励发放时，不存在上下级关系,Σ跨组织认可数,,组织,个,人力资源部
净增加人数,,复合指标,T2,人力资源管理,HRM.00.00.011,衡量组织人数变化绝对情况,正式员工,入职人数-离职人数,,"时间,组织",个,人力资源部
离职率,,复合指标,T1,人力资源管理,HRM.00.00.012,反映人员流失情况,无,离职人数/(离职人数+期末人数）,,"时间,组织",-,人力资源部
主动离职率,,复合指标,T1,人力资源管理,HRM.00.00.013,反映人员主动流失情况,无,主动离职人数/(主动离职人数+期末人数）,,"时间,组织",-,人力资源部
主动置换率,,复合指标,T2,人力资源管理,HRM.00.00.014,反映人员置换的情况,正式员工被动解除,除违纪外的被动解除人数/（除违纪外的被动解除人数+期末在职人数）,,时间,个,人力资源部
人均营收,,复合指标,T1,人力资源管理,HRM.00.00.015,反映组织的人效情况,正式员工,营业收入/正式员工人数,,时间,元,人力资源部
人力成本,,原子指标,T1,人力资源管理,HRM.00.00.016,衡量在人身上投入的可计算金额,无,应发工资（含所有名目的金额）+单位承担社保+单位承担公积金+经济补偿金,,"时间,组织",元,人力资源部
投入产出,,复合指标,T1,人力资源管理,HRM.00.00.017,反映组织的投入和产出情况,无,营业收入/总人力成本,,"时间,组织",-,人力资源部
人力成本占比,,复合指标,T1,人力资源管理,HRM.00.00.018,反映人的成本在营收里的占比情况,无,总人力成本/营业收入,,"时间,组织",-,人力资源部
招聘达成率,,复合指标,T2,人力资源管理,HRM.00.00.019,反映人才短缺的满足情况,无,已offer人数/招聘需求数,,组织,-,人力资源部
